name,RR@10,nDCG@10,AP@100,alpha,dataset,pipeline_name,model
dbpedia_entity: BM25 >> bge-base-en-v1.5,0.7237,0.4101,0.2906,0.4,dbpedia_entity,BM25 >> bge-base-en-v1.5,bge-base
fever: BM25 >> bge-base-en-v1.5,0.8058,0.8058,0.7641,0.1,fever,BM25 >> bge-base-en-v1.5,bge-base
fiqa: BM25 >> bge-base-en-v1.5,0.4901,0.4103,0.3452,0.3,fiqa,BM25 >> bge-base-en-v1.5,bge-base
hotpotqa: BM25 >> bge-base-en-v1.5,0.8579,0.7087,0.6285,0.4,hotpotqa,BM25 >> bge-base-en-v1.5,bge-base
nfcorpus: BM25 >> bge-base-en-v1.5,0.5767,0.3623,0.1688,0.1,nfcorpus,BM25 >> bge-base-en-v1.5,bge-base
passage: BM25 >> bge-base-en-v1.5,0.8463,0.6897,0.386,0.1,passage,BM25 >> bge-base-en-v1.5,bge-base
quora: BM25 >> bge-base-en-v1.5,0.8888,0.8944,0.8649,0.3,quora,BM25 >> bge-base-en-v1.5,bge-base
scifact: BM25 >> bge-base-en-v1.5,0.7106,0.7458,0.7064,0.2,scifact,BM25 >> bge-base-en-v1.5,bge-base
dbpedia_entity: BM25 >> bge-small-en-v1.5,0.7423,0.4122,0.2873,0.3,dbpedia_entity,BM25 >> bge-small-en-v1.5,bge-small
fever: BM25 >> bge-small-en-v1.5,0.799,0.7983,0.7561,0.1,fever,BM25 >> bge-small-en-v1.5,bge-small
fiqa: BM25 >> bge-small-en-v1.5,0.4881,0.4084,0.3465,0.2,fiqa,BM25 >> bge-small-en-v1.5,bge-small
hotpotqa: BM25 >> bge-small-en-v1.5,0.8359,0.6873,0.6049,0.4,hotpotqa,BM25 >> bge-small-en-v1.5,bge-small
nfcorpus: BM25 >> bge-small-en-v1.5,0.5853,0.3593,0.1645,0.3,nfcorpus,BM25 >> bge-small-en-v1.5,bge-small
passage: BM25 >> bge-small-en-v1.5,0.8684,0.699,0.391,0.2,passage,BM25 >> bge-small-en-v1.5,bge-small
quora: BM25 >> bge-small-en-v1.5,0.8871,0.893,0.8636,0.3,quora,BM25 >> bge-small-en-v1.5,bge-small
scifact: BM25 >> bge-small-en-v1.5,0.6867,0.7211,0.6843,0.2,scifact,BM25 >> bge-small-en-v1.5,bge-small
dbpedia_entity: BM25 >> gte-base-en-v1.5,0.7381,0.4145,0.2837,0.3,dbpedia_entity,BM25 >> gte-base-en-v1.5,gte-base
fever: BM25 >> gte-base-en-v1.5,0.8854,0.8672,0.8401,0.1,fever,BM25 >> gte-base-en-v1.5,gte-base
fiqa: BM25 >> gte-base-en-v1.5,0.5587,0.4755,0.4103,0.2,fiqa,BM25 >> gte-base-en-v1.5,gte-base
hotpotqa: BM25 >> gte-base-en-v1.5,0.8608,0.687,0.6025,0.6,hotpotqa,BM25 >> gte-base-en-v1.5,gte-base
nfcorpus: BM25 >> gte-base-en-v1.5,0.5852,0.3649,0.1658,0.4,nfcorpus,BM25 >> gte-base-en-v1.5,gte-base
passage: BM25 >> gte-base-en-v1.5,0.7953,0.7137,0.4087,0.2,passage,BM25 >> gte-base-en-v1.5,gte-base
quora: BM25 >> gte-base-en-v1.5,0.8877,0.8939,0.8641,0.4,quora,BM25 >> gte-base-en-v1.5,gte-base
scifact: BM25 >> gte-base-en-v1.5,0.7217,0.7599,0.7196,0.4,scifact,BM25 >> gte-base-en-v1.5,gte-base
dbpedia_entity: BM25 >> snowflake-arctic-embed-m,0.7827,0.4443,0.3122,0.2,dbpedia_entity,BM25 >> snowflake-arctic-embed-m,arctic-m
fever: BM25 >> snowflake-arctic-embed-m,0.8164,0.8155,0.7765,0.1,fever,BM25 >> snowflake-arctic-embed-m,arctic-m
fiqa: BM25 >> snowflake-arctic-embed-m,0.5033,0.4241,0.3619,0.2,fiqa,BM25 >> snowflake-arctic-embed-m,arctic-m
hotpotqa: BM25 >> snowflake-arctic-embed-m,0.8785,0.7255,0.6482,0.3,hotpotqa,BM25 >> snowflake-arctic-embed-m,arctic-m
nfcorpus: BM25 >> snowflake-arctic-embed-m,0.5786,0.3619,0.1653,0.2,nfcorpus,BM25 >> snowflake-arctic-embed-m,arctic-m
passage: BM25 >> snowflake-arctic-embed-m,0.8503,0.7042,0.4026,0.1,passage,BM25 >> snowflake-arctic-embed-m,arctic-m
quora: BM25 >> snowflake-arctic-embed-m,0.871,0.8795,0.8465,0.3,quora,BM25 >> snowflake-arctic-embed-m,arctic-m
scifact: BM25 >> snowflake-arctic-embed-m,0.7041,0.7471,0.6977,0.5,scifact,BM25 >> snowflake-arctic-embed-m,arctic-m
dbpedia_entity: BM25 >> snowflake-arctic-embed-xs,0.7212,0.4071,0.2807,0.2,dbpedia_entity,BM25 >> snowflake-arctic-embed-xs,arctic-xs
fever: BM25 >> snowflake-arctic-embed-xs,0.7512,0.7608,0.7128,0.1,fever,BM25 >> snowflake-arctic-embed-xs,arctic-xs
fiqa: BM25 >> snowflake-arctic-embed-xs,0.427,0.3555,0.297,0.2,fiqa,BM25 >> snowflake-arctic-embed-xs,arctic-xs
hotpotqa: BM25 >> snowflake-arctic-embed-xs,0.8327,0.668,0.5843,0.5,hotpotqa,BM25 >> snowflake-arctic-embed-xs,arctic-xs
nfcorpus: BM25 >> snowflake-arctic-embed-xs,0.5507,0.3408,0.1542,0.3,nfcorpus,BM25 >> snowflake-arctic-embed-xs,arctic-xs
passage: BM25 >> snowflake-arctic-embed-xs,0.8585,0.6924,0.3955,0.2,passage,BM25 >> snowflake-arctic-embed-xs,arctic-xs
quora: BM25 >> snowflake-arctic-embed-xs,0.8645,0.8718,0.8383,0.3,quora,BM25 >> snowflake-arctic-embed-xs,arctic-xs
scifact: BM25 >> snowflake-arctic-embed-xs,0.6788,0.7128,0.6705,0.6,scifact,BM25 >> snowflake-arctic-embed-xs,arctic-xs
dbpedia_entity: BM25 >> tct_colbert_msmarco,0.7199,0.4004,0.2671,0.4,dbpedia_entity,BM25 >> tct_colbert_msmarco,tct-colbert
fever: BM25 >> tct_colbert_msmarco,0.6694,0.6887,0.6342,0.1,fever,BM25 >> tct_colbert_msmarco,tct-colbert
fiqa: BM25 >> tct_colbert_msmarco,0.3853,0.3139,0.2619,0.5,fiqa,BM25 >> tct_colbert_msmarco,tct-colbert
hotpotqa: BM25 >> tct_colbert_msmarco,0.8007,0.6363,0.5512,0.6,hotpotqa,BM25 >> tct_colbert_msmarco,tct-colbert
nfcorpus: BM25 >> tct_colbert_msmarco,0.5496,0.3362,0.1518,0.6,nfcorpus,BM25 >> tct_colbert_msmarco,tct-colbert
passage: BM25 >> tct_colbert_msmarco,0.82,0.6924,0.3891,0.2,passage,BM25 >> tct_colbert_msmarco,tct-colbert
quora: BM25 >> tct_colbert_msmarco,0.8382,0.8464,0.8093,0.5,quora,BM25 >> tct_colbert_msmarco,tct-colbert
scifact: BM25 >> tct_colbert_msmarco,0.6567,0.6901,0.652,0.6,scifact,BM25 >> tct_colbert_msmarco,tct-colbert
